video_id,filename,true_class,predicted_class,attention_weight
2gK6XVlfdK0,PROMOTIONAL_2gK6XVlfdK0_F001.jpg,Promotional,Promotional,0.44877442717552185
2gK6XVlfdK0,PROMOTIONAL_2gK6XVlfdK0_F027.jpg,Promotional,Promotional,0.19762809574604034
2gK6XVlfdK0,PROMOTIONAL_2gK6XVlfdK0_F028.jpg,Promotional,Promotional,0.2252287119626999
2gK6XVlfdK0,PROMOTIONAL_2gK6XVlfdK0_F030.jpg,Promotional,Promotional,0.12836870551109314
AMK9MrKAXKw,PROMOTIONAL_AMK9MrKAXKw_F001.jpg,Promotional,Promotional,0.30934610962867737
AMK9MrKAXKw,PROMOTIONAL_AMK9MrKAXKw_F012.jpg,Promotional,Promotional,0.377087265253067
AMK9MrKAXKw,PROMOTIONAL_AMK9MrKAXKw_F013.jpg,Promotional,Promotional,0.3135666251182556
H2qy5DVUOw8,PROMOTIONAL_H2qy5DVUOw8_F035.jpg,Promotional,Promotional,0.12066353857517242
H2qy5DVUOw8,PROMOTIONAL_H2qy5DVUOw8_F057.jpg,Promotional,Promotional,0.27955183386802673
H2qy5DVUOw8,PROMOTIONAL_H2qy5DVUOw8_F058.jpg,Promotional,Promotional,0.24531371891498566
H2qy5DVUOw8,PROMOTIONAL_H2qy5DVUOw8_F059.jpg,Promotional,Promotional,0.3544709086418152
RnL8eDxT7Cg,PROMOTIONAL_RnL8eDxT7Cg_F006.jpg,Promotional,Promotional,0.6289157867431641
RnL8eDxT7Cg,PROMOTIONAL_RnL8eDxT7Cg_F055.jpg,Promotional,Promotional,0.37108418345451355
S2pF1WuMy2M,PROMOTIONAL_S2pF1WuMy2M_F055.jpg,Promotional,Promotional,0.5507566332817078
S2pF1WuMy2M,PROMOTIONAL_S2pF1WuMy2M_F056.jpg,Promotional,Promotional,0.4492434561252594
Tl8jMFYa60o,PROMOTIONAL_Tl8jMFYa60o_F054.jpg,Promotional,Promotional,0.40989169478416443
Tl8jMFYa60o,PROMOTIONAL_Tl8jMFYa60o_F055.jpg,Promotional,Promotional,0.590108335018158
ZPkbtIBypb0,PROMOTIONAL_ZPkbtIBypb0_F223.jpg,Promotional,Promotional,1.0
cz5n3qm1G8k,PROMOTIONAL_cz5n3qm1G8k_F018.jpg,Promotional,Promotional,0.4538802206516266
cz5n3qm1G8k,PROMOTIONAL_cz5n3qm1G8k_F019.jpg,Promotional,Promotional,0.546119749546051
fmK0FYpaJ7E,PROMOTIONAL_fmK0FYpaJ7E_F019.jpg,Promotional,Promotional,1.0
hvx16M1Pe9w,PROMOTIONAL_hvx16M1Pe9w_F058.jpg,Promotional,Promotional,1.0
iEGY45xE5io,PROMOTIONAL_iEGY45xE5io_F045.jpg,Promotional,Promotional,0.1712864488363266
iEGY45xE5io,PROMOTIONAL_iEGY45xE5io_F056.jpg,Promotional,Promotional,0.10718955844640732
iEGY45xE5io,PROMOTIONAL_iEGY45xE5io_F057.jpg,Promotional,Promotional,0.1521030217409134
iEGY45xE5io,PROMOTIONAL_iEGY45xE5io_F059.jpg,Promotional,Promotional,0.2891024351119995
iEGY45xE5io,PROMOTIONAL_iEGY45xE5io_F060.jpg,Promotional,Promotional,0.2803184986114502
iN7n_T5Jh54,PROMOTIONAL_iN7n_T5Jh54_F057.jpg,Promotional,Promotional,0.48428472876548767
iN7n_T5Jh54,PROMOTIONAL_iN7n_T5Jh54_F058.jpg,Promotional,Promotional,0.5157152414321899
jLTcQxKUZqM,PROMOTIONAL_jLTcQxKUZqM_F015.jpg,Promotional,Promotional,0.36181843280792236
jLTcQxKUZqM,PROMOTIONAL_jLTcQxKUZqM_F016.jpg,Promotional,Promotional,0.6381815671920776
mt4Cf63vFyI,PROMOTIONAL_mt4Cf63vFyI_F005.jpg,Promotional,Promotional,1.0
ob1RBsKnLP0,PROMOTIONAL_ob1RBsKnLP0_F043.jpg,Promotional,Promotional,1.0
tvgJjsc0xUs,PROMOTIONAL_tvgJjsc0xUs_F036.jpg,Promotional,Promotional,0.4028230905532837
tvgJjsc0xUs,PROMOTIONAL_tvgJjsc0xUs_F037.jpg,Promotional,Promotional,0.4027301073074341
tvgJjsc0xUs,PROMOTIONAL_tvgJjsc0xUs_F038.jpg,Promotional,Promotional,0.19444675743579865
wfDje4PdPvE,PROMOTIONAL_wfDje4PdPvE_F013.jpg,Promotional,Promotional,0.23657210171222687
wfDje4PdPvE,PROMOTIONAL_wfDje4PdPvE_F019.jpg,Promotional,Promotional,0.29843670129776
wfDje4PdPvE,PROMOTIONAL_wfDje4PdPvE_F025.jpg,Promotional,Promotional,0.46499115228652954
PREV004,PREV004_F007.jpg,Preventive,Preventive,0.10208222270011902
PREV004,PREV004_F009.jpg,Preventive,Preventive,0.06901705265045166
PREV004,PREV004_F011.jpg,Preventive,Preventive,0.05253578722476959
PREV004,PREV004_F014.jpg,Preventive,Preventive,0.04672960564494133
PREV004,PREV004_F016.jpg,Preventive,Preventive,0.05817741900682449
PREV004,PREV004_F018.jpg,Preventive,Preventive,0.08092071861028671
PREV004,PREV004_F021.jpg,Preventive,Preventive,0.06185494363307953
PREV004,PREV004_F023.jpg,Preventive,Preventive,0.06807029992341995
PREV004,PREV004_F029.jpg,Preventive,Preventive,0.18156591057777405
PREV004,PREV004_F033.jpg,Preventive,Preventive,0.09977976232767105
PREV004,PREV004_F035.jpg,Preventive,Preventive,0.17926625907421112
